timestamp,asset,side,quantity,entry_price,exit_price,profit_loss,balance
2023-01-03 10:34:00,QQQ,SELL,72,408.49,396.29,-878.18,24121.82
2023-01-03 12:11:00,TSLA,BUY,70,243.87,240.3,-249.87,23871.95
2023-01-03 12:21:00,AAPL,SELL,76,175.02,175.26,17.93,23889.88
2023-01-03 12:30:00,GOOGL,BUY,87,175.91,176.61,60.8,23950.68
2023-01-03 13:50:00,SPY,BUY,50,486.03,479.29,-337.15,23613.53
2023-01-03 13:58:00,GOOGL,BUY,71,176.35,176.73,26.71,23640.24
2023-01-03 15:52:00,SPY,SELL,36,484.2,471.55,-455.45,23184.79
2023-01-04 09:30:00,QQQ,SELL,24,407.68,408.13,10.89,23195.68
2023-01-04 09:39:00,TSLA,SELL,77,244.91,245.67,58.81,23254.49
2023-01-04 09:48:00,GOOGL,SELL,54,174.36,174.99,34.08,23288.57
2023-01-04 11:01:00,AAPL,BUY,100,173.97,169.92,-404.58,22883.99
2023-01-04 11:14:00,MSFT,BUY,68,390.22,392.09,126.92,23010.91
2023-01-04 11:18:00,AMZN,BUY,42,194.13,195.0,36.67,23047.58
2023-01-04 11:27:00,TSLA,BUY,35,244.7,245.24,19.02,23066.6
2023-01-04 11:38:00,SPY,BUY,48,484.5,485.89,66.87,23133.47
2023-01-04 13:21:00,TSLA,SELL,50,245.35,239.04,-315.74,22817.73
2023-01-04 14:18:00,AMZN,SELL,44,197.01,193.42,-157.87,22659.86
2023-01-04 15:08:00,AMZN,SELL,63,194.91,190.63,-269.52,22390.34
2023-01-04 15:15:00,GOOGL,BUY,64,173.79,174.25,29.76,22420.1
2023-01-05 09:30:00,AAPL,BUY,69,174.85,171.4,-238.05,22182.05
2023-01-05 10:58:00,QQQ,SELL,64,410.2,397.99,-781.55,21400.5
2023-01-05 12:17:00,QQQ,BUY,50,411.16,403.73,-371.39,21029.11
2023-01-05 12:35:00,SPY,SELL,34,490.21,491.73,51.73,21080.84
2023-01-05 13:36:00,TSLA,SELL,21,245.97,238.81,-150.26,20930.58
2023-01-05 14:46:00,MSFT,SELL,92,388.88,382.92,-548.68,20381.9
2023-01-05 14:55:00,SPY,BUY,56,487.36,488.33,54.16,20436.06
2023-01-05 14:59:00,NVDA,SELL,96,852.46,855.87,327.25,20763.31
2023-01-06 09:30:00,GOOGL,SELL,36,176.03,172.92,-111.94,20651.37
2023-01-06 09:38:00,NVDA,SELL,37,861.86,863.93,76.71,20728.08
2023-01-06 11:15:00,GOOGL,BUY,21,173.82,171.85,-41.42,20686.66
2023-01-06 11:20:00,NVDA,SELL,76,856.34,857.59,94.9,20781.56
2023-01-06 12:34:00,GOOGL,BUY,23,174.98,172.31,-61.36,20720.2
2023-01-06 12:43:00,GOOGL,BUY,44,175.85,176.26,18.04,20738.24
2023-01-06 12:52:00,NVDA,BUY,27,860.14,863.97,103.54,20841.78
2023-01-06 13:05:00,MSFT,SELL,69,393.14,394.03,61.46,20903.24
2023-01-06 13:09:00,AAPL,SELL,44,175.46,176.13,29.3,20932.54
2023-01-06 15:03:00,MSFT,BUY,72,386.38,378.04,-600.21,20332.33
2023-01-06 15:08:00,GOOGL,BUY,89,175.2,175.38,15.96,20348.29
2023-01-06 15:17:00,AMZN,SELL,83,194.41,195.32,75.21,20423.5
2023-01-06 15:32:00,TSLA,BUY,80,245.19,246.04,68.12,20491.62
2023-01-06 15:39:00,NVDA,BUY,48,863.74,867.07,160.03,20651.65
2023-01-09 09:30:00,GOOGL,SELL,99,174.0,169.99,-396.81,20254.84
2023-01-09 11:14:00,TSLA,BUY,90,245.36,241.86,-315.17,19939.67
2023-01-09 11:18:00,TSLA,BUY,25,244.12,244.75,15.84,19955.51
2023-01-09 12:28:00,QQQ,BUY,60,410.65,398.92,-703.53,19251.98
2023-01-09 12:36:00,QQQ,SELL,92,409.32,410.77,133.69,19385.67
2023-01-09 14:14:00,GOOGL,SELL,59,175.36,172.51,-168.17,19217.5
2023-01-09 14:24:00,NVDA,BUY,44,855.63,858.78,138.45,19355.95
2023-01-09 14:30:00,MSFT,SELL,83,387.61,388.29,56.24,19412.19
2023-01-09 14:36:00,QQQ,BUY,52,409.58,410.52,49.08,19461.27
2023-01-09 15:46:00,TSLA,SELL,82,244.44,238.89,-454.85,19006.42
2023-01-09 15:58:00,MSFT,SELL,48,391.77,392.53,36.62,19043.04
2023-01-10 09:30:00,SPY,SELL,99,484.93,473.44,-1137.52,17905.52
2023-01-10 09:34:00,GOOGL,BUY,26,174.21,174.6,10.15,17915.67
2023-01-10 10:23:00,TSLA,SELL,63,243.89,237.55,-399.64,17516.03
2023-01-10 11:19:00,SPY,BUY,99,482.5,475.27,-716.06,16799.97
2023-01-10 13:06:00,TSLA,BUY,30,242.44,236.27,-184.98,16614.99
2023-01-10 13:18:00,SPY,SELL,44,486.51,487.59,47.48,16662.47
2023-01-10 14:29:00,TSLA,SELL,45,242.7,236.02,-300.69,16361.78
2023-01-10 15:52:00,NVDA,SELL,22,863.51,843.54,-439.37,15922.41
2023-01-11 09:30:00,AAPL,SELL,56,175.05,175.87,45.67,15968.08
2023-01-11 10:29:00,SPY,BUY,37,481.44,468.16,-491.4,15476.68
